#Organism Name,Organism Groups,Size(Mb),Chromosomes,Organelles,Plasmids,Assemblies
"Ascobolus immersus","Eukaryota;Fungi;Ascomycetes",59.5299,0,0,0,1
"Ascodesmis nigricans","Eukaryota;Fungi;Ascomycetes",27.3852,0,0,0,1
"Cerataphis brasiliensis yeast-like symbiont","Eukaryota;Fungi;Ascomycetes",25.4655,0,0,0,1
"Choiromyces venosus","Eukaryota;Fungi;Ascomycetes",126.035,0,0,0,1
"Endocalyx cinctus","Eukaryota;Fungi;Ascomycetes",44.7739,0,0,0,1
"Margaritispora aquatica","Eukaryota;Fungi;Ascomycetes",42.5173,0,0,0,1
"Morchella conica","Eukaryota;Fungi;Ascomycetes",52.4255,0,0,0,2
"Neolecta irregularis","Eukaryota;Fungi;Ascomycetes",14.1826,0,0,0,1
"Nilaparvata lugens yeast-like symbiont","Eukaryota;Fungi;Ascomycetes",26.8096,0,0,0,1
"Pneumocystis carinii","Eukaryota;Fungi;Ascomycetes",7.66146,0,0,0,1
"Pneumocystis jirovecii","Eukaryota;Fungi;Ascomycetes",8.39624,0,0,0,3
"Protomyces sp. C29","Eukaryota;Fungi;Ascomycetes",11.928,0,0,0,1
"Sclerotium cepivorum","Eukaryota;Fungi;Ascomycetes",56.335,0,0,0,1
"Taxomyces andreanae","Eukaryota;Fungi;Ascomycetes",43.1525,0,0,0,1
"Terfezia boudieri","Eukaryota;Fungi;Ascomycetes",63.2346,0,0,0,1
"Tuber indicum","Eukaryota;Fungi;Ascomycetes",118.706,0,0,0,1
"Tuber umbilicatum","Eukaryota;Fungi;Ascomycetes",84.6117,0,0,0,1
"Aaosphaeria arxii","Eukaryota;Fungi;Ascomycetes",38.901,0,0,0,1
"Aciculosporium take","Eukaryota;Fungi;Ascomycetes",58.8364,0,0,0,1
"Acidomyces richmondensis","Eukaryota;Fungi;Ascomycetes",29.3472,0,0,0,3
"Acremonium chrysogenum","Eukaryota;Fungi;Ascomycetes",28.5905,0,1,0,1
"Aeminium ludgeri","Eukaryota;Fungi;Ascomycetes",22.5856,0,0,0,1
"Albophoma yamanashiensis","Eukaryota;Fungi;Ascomycetes",31.3906,0,0,0,1
"Alectoria sarmentosa","Eukaryota;Fungi;Ascomycetes",39.9583,0,0,0,1
"Alloascoidea hylecoeti","Eukaryota;Fungi;Ascomycetes",24.8157,0,0,0,1
"Alternaria brassicae","Eukaryota;Fungi;Ascomycetes",34.1411,10,0,0,1
"Alternaria gaisen","Eukaryota;Fungi;Ascomycetes",34.3469,0,0,0,1
"Alternaria solani","Eukaryota;Fungi;Ascomycetes",32.7791,10,0,0,2
"Alternaria sp. MG1","Eukaryota;Fungi;Ascomycetes",34.6956,0,0,0,1
"Amauroascus mutatus","Eukaryota;Fungi;Ascomycetes",30.376,0,0,0,1
"Amauroascus niger","Eukaryota;Fungi;Ascomycetes",36.7183,0,0,0,1
"Ambrosiozyma maleeae","Eukaryota;Fungi;Ascomycetes",12.7418,0,0,0,1
"Ambrosiozyma oregonensis","Eukaryota;Fungi;Ascomycetes",15.3324,0,0,0,1
"Amesia nigricolor","Eukaryota;Fungi;Ascomycetes",31.0243,0,0,0,1
"Amniculicola lignicola","Eukaryota;Fungi;Ascomycetes",49.5766,0,0,0,1
"Amphirosellinia nigrospora","Eukaryota;Fungi;Ascomycetes",48.1778,0,0,0,1
"Annulohypoxylon stygium","Eukaryota;Fungi;Ascomycetes",38.6811,0,0,0,2
"Antarctomyces pellizariae","Eukaryota;Fungi;Ascomycetes",24.218,0,0,0,1
"Aplosporella prunicola","Eukaryota;Fungi;Ascomycetes",32.8187,0,0,0,1
"Aquanectria penicillioides","Eukaryota;Fungi;Ascomycetes",53.7635,0,0,0,1
"Arachnopeziza araneosa","Eukaryota;Fungi;Ascomycetes",40.4532,0,0,0,1
"Arthonia radiata","Eukaryota;Fungi;Ascomycetes",33.5018,0,0,0,1
"Arthrinium malaysianum","Eukaryota;Fungi;Ascomycetes",46.11,0,0,0,1
"Arthrinium phaeospermum","Eukaryota;Fungi;Ascomycetes",48.4499,0,0,0,1
"Arthrobotrys flagrans","Eukaryota;Fungi;Ascomycetes",36.6458,0,0,0,3
"Arthrobotrys oligospora","Eukaryota;Fungi;Ascomycetes",40.0728,0,0,0,3
"Arthrocladium fulminans","Eukaryota;Fungi;Ascomycetes",27.1953,0,0,0,1
"Articulospora tetracladia","Eukaryota;Fungi;Ascomycetes",41.8468,0,0,0,1
"Ascochyta lentis","Eukaryota;Fungi;Ascomycetes",41.975,0,0,0,4
"Ascochyta viciae","Eukaryota;Fungi;Ascomycetes",49.9601,0,0,0,1
"Ascochyta viciae-villosae","Eukaryota;Fungi;Ascomycetes",46.0096,0,0,0,1
"Ascocoryne sarcoides","Eukaryota;Fungi;Ascomycetes",34.2474,0,0,0,1
"Ascoidea asiatica","Eukaryota;Fungi;Ascomycetes",20.3137,0,0,0,1
"Ascoidea rubescens","Eukaryota;Fungi;Ascomycetes",17.504,0,0,0,1
"Ascosphaera apis","Eukaryota;Fungi;Ascomycetes",20.3131,0,0,0,2
"Aspergillus aff. floccosus IMV 01167","Eukaryota;Fungi;Ascomycetes",31.5886,0,0,0,1
"Atkinsonella hypoxylon","Eukaryota;Fungi;Ascomycetes",35.5932,0,0,0,1
"Atkinsonella texensis","Eukaryota;Fungi;Ascomycetes",29.3746,0,0,0,2
"Aulographum hederae","Eukaryota;Fungi;Ascomycetes",31.9835,0,0,0,1
"Aureobasidium melanogenum","Eukaryota;Fungi;Ascomycetes",26.1176,0,0,0,2
"Aureobasidium namibiae","Eukaryota;Fungi;Ascomycetes",25.4286,0,0,0,1
"Aureobasidium pullulans","Eukaryota;Fungi;Ascomycetes",29.6211,0,0,0,54
"Aureobasidium sp. FSWF8-4","Eukaryota;Fungi;Ascomycetes",28.1737,0,0,0,1
"Aureobasidium sp. P6","Eukaryota;Fungi;Ascomycetes",24.6344,0,0,0,1
"Aureobasidium subglaciale","Eukaryota;Fungi;Ascomycetes",25.7967,0,0,0,1
"Balansia obtecta","Eukaryota;Fungi;Ascomycetes",30.1535,0,0,0,1
"Barnettozyma populi","Eukaryota;Fungi;Ascomycetes",11.4759,0,0,0,1
"Basipetospora chlamydospora","Eukaryota;Fungi;Ascomycetes",33.4899,0,0,0,1
"Baudoinia panamericana","Eukaryota;Fungi;Ascomycetes",21.8756,0,0,0,1
"Beauveria pseudobassiana","Eukaryota;Fungi;Ascomycetes",34.5081,0,0,0,1
"Beauveria rudraprayagi","Eukaryota;Fungi;Ascomycetes",36.5895,0,0,0,1
"Beauveria sp. IMV 00265","Eukaryota;Fungi;Ascomycetes",35.1901,0,0,0,1
"Bertia moriformis","Eukaryota;Fungi;Ascomycetes",417.331,0,0,0,1
"Beverwykella pulmonaria","Eukaryota;Fungi;Ascomycetes",45.9662,0,0,0,1
"Bipolaris cookei","Eukaryota;Fungi;Ascomycetes",36.1692,0,0,0,1
"Blastobotrys americana","Eukaryota;Fungi;Ascomycetes",12.5932,0,0,0,1
"Blastobotrys mokoenaii","Eukaryota;Fungi;Ascomycetes",13.7779,0,0,0,1
"Blastobotrys muscicola","Eukaryota;Fungi;Ascomycetes",14.7129,0,0,0,1
"Blastobotrys peoriensis","Eukaryota;Fungi;Ascomycetes",14.1193,0,0,0,1
"Blastobotrys proliferans","Eukaryota;Fungi;Ascomycetes",14.655,0,0,0,1
"Blastobotrys raffinosifermentans","Eukaryota;Fungi;Ascomycetes",12.4582,0,0,0,1
"Blastobotrys serpentis","Eukaryota;Fungi;Ascomycetes",13.8904,0,0,0,1
"Blastomyces gilchristii","Eukaryota;Fungi;Ascomycetes",75.4047,0,0,0,1
"Blumeria graminis","Eukaryota;Fungi;Ascomycetes",140.803,12,0,0,11
"Blumeriella jaapii","Eukaryota;Fungi;Ascomycetes",47.4197,0,0,0,1
"Botryosphaeria kuwatsukai","Eukaryota;Fungi;Ascomycetes",47.8713,0,0,0,1
"Botryotinia calthae","Eukaryota;Fungi;Ascomycetes",47.4464,0,0,0,1
"Botryotinia convoluta","Eukaryota;Fungi;Ascomycetes",45.2841,0,0,0,1
"Botryotinia narcissicola","Eukaryota;Fungi;Ascomycetes",54.7658,0,0,0,1
"Botryozyma nematodophila","Eukaryota;Fungi;Ascomycetes",17.2082,0,0,0,1
"Botrytis cinerea","Eukaryota;Fungi;Ascomycetes",42.6301,18,0,0,4
"Botrytis elliptica","Eukaryota;Fungi;Ascomycetes",47.5631,0,0,0,1
"Botrytis fabae","Eukaryota;Fungi;Ascomycetes",44.8251,0,0,0,2
"Botrytis galanthina","Eukaryota;Fungi;Ascomycetes",43.8654,0,0,0,1
"Botrytis hyacinthi","Eukaryota;Fungi;Ascomycetes",43.8198,0,0,0,1
"Botrytis paeoniae","Eukaryota;Fungi;Ascomycetes",46.2455,0,0,0,2
"Botrytis porri","Eukaryota;Fungi;Ascomycetes",42.9584,0,0,0,1
"Botrytis tulipae","Eukaryota;Fungi;Ascomycetes",45.3211,0,0,0,1
