species,Organism_Groups,Size(Mb),Chromosomes,Organelles,Plasmids,Assemblies
"Ascobolus_immersus","Eukaryota;Fungi;Ascomycetes",59.5299,0,0,0,1
"Ascodesmis_nigricans","Eukaryota;Fungi;Ascomycetes",27.3852,0,0,0,1
"Cerataphis_brasiliensis_yeast-like_symbiont","Eukaryota;Fungi;Ascomycetes",25.4655,0,0,0,1
"Choiromyces_venosus","Eukaryota;Fungi;Ascomycetes",126.035,0,0,0,1
"Endocalyx_cinctus","Eukaryota;Fungi;Ascomycetes",44.7739,0,0,0,1
"Margaritispora_aquatica","Eukaryota;Fungi;Ascomycetes",42.5173,0,0,0,1
"Morchella_conica","Eukaryota;Fungi;Ascomycetes",52.4255,0,0,0,2
"Neolecta_irregularis","Eukaryota;Fungi;Ascomycetes",14.1826,0,0,0,1
"Nilaparvata_lugens_yeast-like_symbiont","Eukaryota;Fungi;Ascomycetes",26.8096,0,0,0,1
"Pneumocystis_carinii","Eukaryota;Fungi;Ascomycetes",7.66146,0,0,0,1
"Pneumocystis_jirovecii","Eukaryota;Fungi;Ascomycetes",8.39624,0,0,0,3
"Protomyces_sp._C29","Eukaryota;Fungi;Ascomycetes",11.928,0,0,0,1
"Sclerotium_cepivorum","Eukaryota;Fungi;Ascomycetes",56.335,0,0,0,1
"Taxomyces_andreanae","Eukaryota;Fungi;Ascomycetes",43.1525,0,0,0,1
"Terfezia_boudieri","Eukaryota;Fungi;Ascomycetes",63.2346,0,0,0,1
"Tuber_indicum","Eukaryota;Fungi;Ascomycetes",118.706,0,0,0,1
"Tuber_umbilicatum","Eukaryota;Fungi;Ascomycetes",84.6117,0,0,0,1
"Aaosphaeria_arxii","Eukaryota;Fungi;Ascomycetes",38.901,0,0,0,1
"Aciculosporium_take","Eukaryota;Fungi;Ascomycetes",58.8364,0,0,0,1
"Acidomyces_richmondensis","Eukaryota;Fungi;Ascomycetes",29.3472,0,0,0,3
"Acremonium_chrysogenum","Eukaryota;Fungi;Ascomycetes",28.5905,0,1,0,1
"Aeminium_ludgeri","Eukaryota;Fungi;Ascomycetes",22.5856,0,0,0,1
"Albophoma_yamanashiensis","Eukaryota;Fungi;Ascomycetes",31.3906,0,0,0,1
"Alectoria_sarmentosa","Eukaryota;Fungi;Ascomycetes",39.9583,0,0,0,1
"Alloascoidea_hylecoeti","Eukaryota;Fungi;Ascomycetes",24.8157,0,0,0,1
"Alternaria_brassicae","Eukaryota;Fungi;Ascomycetes",34.1411,10,0,0,1
"Alternaria_gaisen","Eukaryota;Fungi;Ascomycetes",34.3469,0,0,0,1
"Alternaria_solani","Eukaryota;Fungi;Ascomycetes",32.7791,10,0,0,2
"Alternaria_sp._MG1","Eukaryota;Fungi;Ascomycetes",34.6956,0,0,0,1
"Amauroascus_mutatus","Eukaryota;Fungi;Ascomycetes",30.376,0,0,0,1
"Amauroascus_niger","Eukaryota;Fungi;Ascomycetes",36.7183,0,0,0,1
"Ambrosiozyma_maleeae","Eukaryota;Fungi;Ascomycetes",12.7418,0,0,0,1
"Ambrosiozyma_oregonensis","Eukaryota;Fungi;Ascomycetes",15.3324,0,0,0,1
"Amesia_nigricolor","Eukaryota;Fungi;Ascomycetes",31.0243,0,0,0,1
"Amniculicola_lignicola","Eukaryota;Fungi;Ascomycetes",49.5766,0,0,0,1
"Amphirosellinia_nigrospora","Eukaryota;Fungi;Ascomycetes",48.1778,0,0,0,1
