species,Organism_Groups,Size(Mb),Chromosomes,Organelles,Plasmids,Assemblies
Nothobranchius furzeri,"Eukaryota;Animals;Fishes",1242.52,19,1,0,4
Thamnaconus septentrionalis,"Eukaryota;Animals;Fishes",474.31,20,0,0,1
Betta splendens,"Eukaryota;Animals;Fishes",441.389,21,1,0,3
Astatotilapia calliptera,"Eukaryota;Animals;Fishes",880.446,22,1,0,1
Cynoglossus semilaevis,"Eukaryota;Animals;Fishes",470.199,22,1,0,1
Maylandia zebra,"Eukaryota;Animals;Fishes",957.485,22,1,0,2
Oreochromis niloticus,"Eukaryota;Animals;Fishes",1005.68,22,1,0,3
Parambassis ranga,"Eukaryota;Animals;Fishes",551.013,22,0,0,2
Salarias fasciatus,"Eukaryota;Animals;Fishes",797.507,22,1,0,2
Scophthalmus maximus,"Eukaryota;Animals;Fishes",556.679,22,0,0,5
Syngnathus acus,"Eukaryota;Animals;Fishes",324.331,22,0,0,2
Takifugu bimaculatus,"Eukaryota;Animals;Fishes",371.676,22,0,0,1
Takifugu flavidus,"Eukaryota;Animals;Fishes",366.287,22,0,0,2
Takifugu rubripes,"Eukaryota;Animals;Fishes",384.127,22,1,0,3
Anabas testudineus,"Eukaryota;Animals;Fishes",555.658,23,1,0,3
Gouania willdenowi,"Eukaryota;Animals;Fishes",937.151,23,0,0,2
Poecilia reticulata,"Eukaryota;Animals;Fishes",731.622,23,1,0,1
Sphaeramia orbicularis,"Eukaryota;Animals;Fishes",1342.66,23,0,0,2
Thalassophryne amazonica,"Eukaryota;Animals;Fishes",2446.59,23,0,0,2
Verasper variegatus,"Eukaryota;Animals;Fishes",545.339,23,0,0,2
Amphiprion percula,"Eukaryota;Animals;Fishes",908.956,24,1,0,1
Antennarius maculatus,"Eukaryota;Animals;Fishes",549.95,24,1,0,2
Archocentrus centrarchus,"Eukaryota;Animals;Fishes",932.93,24,1,0,2
Channa argus,"Eukaryota;Animals;Fishes",644.13,24,0,0,1
Collichthys lucidus,"Eukaryota;Animals;Fishes",877.615,24,0,0,2
Coreoperca whiteheadi,"Eukaryota;Animals;Fishes",712.451,24,0,0,1
Cottoperca gobio,"Eukaryota;Animals;Fishes",609.392,24,0,0,2
Cromileptes altivelis,"Eukaryota;Animals;Fishes",1013.37,24,0,0,1
Echeneis naucrates,"Eukaryota;Animals;Fishes",544.229,24,1,0,2
Epinephelus fuscoguttatus,"Eukaryota;Animals;Fishes",1047,24,0,0,1
Epinephelus lanceolatus,"Eukaryota;Animals;Fishes",1087.42,24,1,0,1
Epinephelus moara,"Eukaryota;Animals;Fishes",1030.46,24,0,0,1
Etheostoma cragini,"Eukaryota;Animals;Fishes",643.079,24,0,0,1
Etheostoma spectabile,"Eukaryota;Animals;Fishes",854.807,24,1,0,1
Hippoglossus hippoglossus,"Eukaryota;Animals;Fishes",596.793,24,1,0,2
Hippoglossus stenolepis,"Eukaryota;Animals;Fishes",594.127,24,1,0,1
Kryptolebias hermaphroditus,"Eukaryota;Animals;Fishes",683.987,24,0,0,1
Larimichthys crocea,"Eukaryota;Animals;Fishes",657.94,24,1,0,6
Lateolabrax maculatus,"Eukaryota;Animals;Fishes",519.239,24,0,0,2
Mastacembelus armatus,"Eukaryota;Animals;Fishes",591.952,24,1,0,2
Neostethus bicornis,"Eukaryota;Animals;Fishes",778.441,24,0,0,2
Notolabrus celidotus,"Eukaryota;Animals;Fishes",846.744,24,1,0,2
Oryzias javanicus,"Eukaryota;Animals;Fishes",809.68,24,0,0,1
Oryzias latipes,"Eukaryota;Animals;Fishes",734.057,24,1,0,8
Perca flavescens,"Eukaryota;Animals;Fishes",877.456,24,1,0,1
Perca fluviatilis,"Eukaryota;Animals;Fishes",951.363,24,1,0,3
Plectropomus leopardus,"Eukaryota;Animals;Fishes",787.6,24,0,0,2
Pseudochaenichthys georgianus,"Eukaryota;Animals;Fishes",1026.1,24,0,0,2
Siniperca chuatsi,"Eukaryota;Animals;Fishes",755.045,24,0,0,1
Siniperca knerii,"Eukaryota;Animals;Fishes",723.564,24,0,0,1
Siniperca scherzeri,"Eukaryota;Animals;Fishes",736.163,24,0,0,1
Sparus aurata,"Eukaryota;Animals;Fishes",833.595,24,1,0,3
Xiphophorus couchianus,"Eukaryota;Animals;Fishes",688.542,24,1,0,1
Xiphophorus hellerii,"Eukaryota;Animals;Fishes",732.906,24,1,0,2
Xiphophorus maculatus,"Eukaryota;Animals;Fishes",704.321,24,1,0,2
Cyclopterus lumpus,"Eukaryota;Animals;Fishes",572.886,25,1,0,2
Periophthalmus magnuspinnatus,"Eukaryota;Animals;Fishes",752.622,25,1,0,3
